"Varianten-ID","Name 1","Produkttyp","Farbe","Kompatibel zu","Variantenbeschreibung","Enthält","Kapazität","Patronen Nr"
76586,"Kompatibel HP 823A CB380A Toner Cartridge black","Toner","Black","HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"2x 16500 Seiten","823A, 824A"
76587,"Kompatibel HP 823A 824A Tonerkartuschen","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"2x 16500 Seiten / 6x 21000 Seiten","823A, 824A"
76589,"Kompatibel HP 823A 824A Tonerkassetten","Toner","Cyan, Magenta, Yelllow, Black","HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"4x 16500 Seiten / 6x 21000 Seiten","823A, 824A "
76592,"Kompatibel HP 824A CB381A Laserkartuschen cyan","Toner","Cyan","HP Color LaserJet CM6030f MFP<br>HP Color LaserJet CM6030 MFP<br>HP Color LaserJet CM6040f MFP<br>HP Color LaserJet CM6040 MFP<br>HP Color LaserJet CM6040 Series<br>HP Color LaserJet CM6040x MFP<br>HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"2x 21000 Seiten","823A, 824A"
76600,"Kompatibel HP 824A CB382A Farbtoner yellow","Toner","Yellow","HP Color LaserJet CM6030f MFP<br>HP Color LaserJet CM6030 MFP<br>HP Color LaserJet CM6040f MFP<br>HP Color LaserJet CM6040 MFP<br>HP Color LaserJet CM6040 Series<br>HP Color LaserJet CM6040x MFP<br>HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"2x 21000 Seiten","824A"
76603,"Kompatibel HP 824A CB383A Patronen magenta","Toner","Magenta","HP Color LaserJet CM6030f MFP<br>HP Color LaserJet CM6030 MFP<br>HP Color LaserJet CM6040f MFP<br>HP Color LaserJet CM6040 MFP<br>HP Color LaserJet CM6040 Series<br>HP Color LaserJet CM6040x MFP<br>HP Color LaserJet CP6000 Series<br>HP Color LaserJet CP6015de<br>HP Color LaserJet CP6015dn<br>HP Color LaserJet CP6015dne<br>HP Color LaserJet CP6015n<br>HP Color LaserJet CP6015 Series<br>HP Color LaserJet CP6015x<br>HP Color LaserJet CP6015xh",,,"2x 21000 Seiten","824A"
76667,"Kompatibel Samsung CLT-C4072S/ELS Laserkartuschen cyan Doppepack","Toner","Cyan","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 2000 Seiten","Samsung CLT-C4072S/ELS"
76668,"Kompatibel Samsung CLT-Y4072S/ELS Cartridge yellow","Toner","Yellow","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 2000 Seiten","CLT-Y4072S"
76669,"Kompatibel Samsung CLT-M4072S/ELS Ersatzpatronen magenta","Toner","Magenta","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 2000 Seiten","CLT-M4072S"
76671,"Kompatibel Laserkartuschen Samsung CLT-C4072S cyan Doppepack","Toner","Cyan","Samsung CLP-320<br>Samsung CLP-320 N<br>Samsung CLP-320 Series<br>Samsung CLP-325<br>Samsung CLP-325 N<br>Samsung CLP-325 W<br>Samsung CLX-3180<br>Samsung CLX-3185<br>Samsung CLX-3185 FN<br>Samsung CLX-3185 FW<br>Samsung CLX-3185 N<br>Samsung CLX-3185 Series<br>Samsung CLX-3185 W",,,"2x 1000 Seiten","CLT-C4072S"
